symbol,company_name,sector,industry,first_date,latest_date,trading_days,latest_price,forecast_30d_date,best_model_name,best_model_mae,best_model_rmse,best_model_mape,model_reliability,total_return_pct,avg_daily_return_pct,annualized_volatility_pct,sector_median_volatility_pct,volatility_vs_sector_pct,risk_level,sector_relative_risk,revenue,net_income,ebitda,eps,profit_margin_pct,sector_median_profit_margin_pct,profit_margin_vs_sector_pct,ebitda_margin_pct,sector_median_ebitda_margin_pct,ebitda_margin_vs_sector_pct,fundamental_label,forecast_30d_price,forecast_30d_upside_pct,forecast_signal,final_signal,dashboard_forecast_method,review_reason,old_forecast_30d_price,old_forecast_30d_upside_pct,forecast_naive_30d,forecast_moving_average_30d_30d,forecast_drift_30d,forecast_recent_linear_trend_252d_30d,latest_close,forecast_lower_band_30d,forecast_upper_band_30d
A,A,Healthcare,Diagnostics & Research,2010-01-04,2026-04-30,4106,115.5500030517578,2026-06-11,naive,1.670114305284289,2.19013602438553,1.340914797228776,Strong Reliability,483.26220846868716,0.05938260335849551,28.73240482385103,27.879432159424223,3.059505156163927,Moderate Risk,Near-Sector Volatility,6.948E9,1.303E9,1.835E9,4.59,18.753598157743234,13.072007764948538,43.463792976235766,26.4104778353483,27.240119112073636,-3.0456595043213843,Above-Sector Profitability,114.4053,-0.9906533967979232,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,115.5500030517578,0.0,115.5500030517578,115.48785552978515,116.61724908011298,138.06347024824186,115.55,103.7743,126.1253
AAL,American Airlines Group Inc.,Industrials,Airlines,2010-01-04,2026-04-30,4106,11.710000038146973,2026-06-11,naive,0.3208888159857855,0.40097095212867095,2.46903089855932,Strong Reliability,160.4030143472887,0.075460544919102,51.675454629494965,27.609818322741063,87.16332728249803,High Risk,Above-Sector Volatility,5.4633E10,1.11E8,4.242E9,0.17,0.2031739058810609,10.711451996826236,-98.10320854781163,7.7645379166437865,20.3635712366795,-61.870450784889556,Below-Sector Profitability,11.5081,-1.724167378309139,Neutral Forecast,Needs Further Review,adaptive_blended_momentum,High volatility risk without a strong enough positive signal,11.710000038146973,0.0,11.710000038146973,11.317000071207682,11.925476278577532,10.501907922519784,11.71,9.6056,13.7873
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Auto Parts,2010-01-04,2026-04-30,4106,59.5099983215332,2026-06-11,naive,1.1568375057644318,1.4962946772208858,2.291742303230333,Strong Reliability,72.05038897805623,0.04273962607347764,38.7969681917722,33.31223151038302,16.464633057319062,Moderate Risk,Near-Sector Volatility,8.601E9,6.8E7,5.24E8,0.73,0.7906057435181956,7.711563868993811,-89.74778972269146,6.092314847110801,15.262656133298519,-60.08352154498715,Below-Sector Profitability,63.6147,6.897496219122838,Positive Forecast,Potential Opportunity,adaptive_blended_momentum,Positive adaptive forecast with manageable risk and no weak fundamentals flag,59.5099983215332,0.0,59.5099983215332,54.54134852091472,62.705750510806126,64.99901694782321,59.51,54.1599,74.7202
AAPL,Apple Inc.,Technology,Consumer Electronics,2010-01-04,2026-04-30,4106,271.3500061035156,2026-06-11,naive,2.812978447808159,3.88934743742806,1.0739514927170866,Strong Reliability,4131.656513908172,0.10693462146275777,28.102736591665824,31.546915850446123,-10.917641759682802,Moderate Risk,Near-Sector Volatility,4.16161E11,1.1201E11,1.44748E11,7.49,26.91506412181824,17.9578567128236,49.87904487843671,34.78173110887373,29.446075091513414,18.120092408845657,Above-Sector Profitability,278.8293,2.7563294637921376,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,271.3500061035156,0.0,271.3500061035156,260.44666646321616,278.61864471435547,273.04706081678603,271.35,255.0861,304.7825
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,2013-01-02,2026-04-30,3352,211.32000732421875,2026-06-11,naive,2.710160827636719,3.652126332040033,1.251182818604507,Strong Reliability,927.7675849602622,0.0834309562248946,26.341733216314108,27.879432159424223,-5.515531788154871,Moderate Risk,Near-Sector Volatility,6.116E10,4.226E9,2.2703E10,2.37,6.909744931327665,13.072007764948538,-47.140905547382324,37.120667102681494,27.240119112073636,36.27204400229111,Below-Sector Profitability,216.3786,2.393810335036917,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,211.32000732421875,0.0,211.32000732421875,205.978657023112,214.1670684814453,249.76477628239917,211.32,197.2594,237.351
ABNB,ABNB,Unknown,Unknown,2020-12-10,2026-02-23,1305,124.54000091552734,2026-04-06,naive,1.6721126132541226,2.299176758342525,1.3353929178107309,Strong Reliability,-13.938224630326829,0.03152695906611272,46.65224429795027,36.86284637007811,26.55627248529104,High Risk,Above-Sector Volatility,,,,,,16.420516208181944,,,42.2592365403671,,Unknown Fundamentals,125.9152,1.1042235426368978,Neutral Forecast,Needs Further Review,adaptive_blended_momentum,Missing or unknown fundamentals,124.54000091552734,0.0,124.54000091552734,128.3048329671224,120.87690607706706,120.21091120278811,124.54,113.0957,140.1878
ABT,Abbott Laboratories,Healthcare,Medical Devices,2010-01-04,2026-04-30,4106,90.79000091552734,2026-06-11,naive,1.2411380343967018,1.934935755348781,1.161063140352913,Strong Reliability,398.6339764649487,0.04847926045687692,21.655830797934808,27.879432159424223,-22.3232716000122,Lower Risk,Near-Sector Volatility,4.4328E10,6.524E9,1.2075E10,3.756767,14.717560007218914,13.072007764948538,12.58836646871327,27.240119112073636,27.240119112073636,0.0,Above-Sector Profitability,85.4065,-5.929617799317119,Negative Forecast,Needs Further Review,adaptive_blended_momentum,Negative adaptive forecast but fundamentals are not clearly weak,90.79000091552734,0.0,90.79000091552734,99.07570826212564,86.3736332484654,134.04421942509893,90.79,78.3929,93.0477
ACGL,ACGL,Unknown,Unknown,2010-01-04,2026-02-23,4059,99.48999786376952,2026-04-06,drift,0.8605789850617412,1.1803581903878504,0.922650841995098,Strong Reliability,1208.7508930615622,0.07465787899821015,23.773697923632124,36.86284637007811,-35.50769876813028,Lower Risk,Below-Sector Volatility,,,,,,16.420516208181944,,,42.2592365403671,,Unknown Fundamentals,100.6458,1.1617247964619553,Neutral Forecast,Needs Further Review,adaptive_blended_momentum,Missing or unknown fundamentals,100.1693085561896,0.6827929510565078,99.48999786376952,95.843665822347,100.732854389009,84.56758127384515,99.49,93.9539,107.8143
ACN,Accenture plc,Technology,Information Technology Services,2010-01-04,2026-04-30,4106,178.7100067138672,2026-06-11,naive,4.310836622450087,6.050587700511502,1.948384115829299,Strong Reliability,472.286845616366,0.055000649254380155,25.082097770355325,31.546915850446123,-20.492710319888133,Moderate Risk,Near-Sector Volatility,6.9672977E10,7.678433E9,1.2482657E10,12.29,11.020675921455172,17.9578567128236,-38.63033825420061,17.9160666552256,29.446075091513414,-39.156350720612174,Below-Sector Profitability,166.0752,-7.070001678697338,Negative Forecast,Weak Fundamentals / Negative Forecast,adaptive_blended_momentum,Negative adaptive forecast plus below-sector profitability,178.7100067138672,0.0,178.7100067138672,190.7646031697591,164.92699141729446,161.98863246273322,178.71,141.8279,194.4678
ADBE,Adobe Inc.,Technology,Software - Application,2010-01-04,2026-04-30,4106,246.1000061035156,2026-06-11,naive,4.772111002604166,6.602575001380342,1.7870138844939374,Strong Reliability,563.5211784606703,0.06678293534815426,32.1722122026673,31.546915850446123,1.9821156375016549,Moderate Risk,Near-Sector Volatility,2.3769E10,7.13E9,9.815E9,16.73,29.99705498758888,17.9578567128236,67.04139846582115,41.29328116454205,29.446075091513414,40.23356605662903,Above-Sector Profitability,246.9339,0.3388459975619666,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,246.1000061035156,0.0,246.1000061035156,242.08900044759113,231.23333885556173,266.1520762183577,246.1,213.4944,285.6111
ADI,"Analog Devices, Inc.",Technology,Semiconductors,2010-01-04,2026-04-30,4106,402.260009765625,2026-06-11,drift,5.0964434468706825,6.994258492855856,1.536084698529494,Strong Reliability,1742.7378686041998,0.08888391529685642,30.05108038576818,31.546915850446123,-4.741621880786132,Moderate Risk,Near-Sector Volatility,1.1019707E10,2.267342E9,5.098653E9,4.59,20.575338346110293,17.9578567128236,14.57569060241786,46.26849879039433,29.446075091513414,57.12959586837864,Above-Sector Profitability,453.3022,12.688857952568,Positive Forecast,Potential Opportunity,adaptive_blended_momentum,Positive adaptive forecast with manageable risk and no weak fundamentals flag,405.04025727619353,0.6911568247085829,402.260009765625,347.9943339029948,427.5558885846819,280.15779978599744,402.26,401.5823,511.6831
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,2010-01-04,2026-04-30,4106,74.54000091552734,2026-06-11,drift,0.9457878588458501,1.1634750542125702,1.4035579413296766,Strong Reliability,267.3856837157891,0.04545341723158179,26.14098750597456,21.96226000758387,19.026855601143602,Moderate Risk,Near-Sector Volatility,8.0269E10,1.078E9,3.444E9,2.245833,1.3429842155751286,5.8714522578757435,-77.12688179021296,4.290572948460801,17.801047120418847,-75.89707549541139,Below-Sector Profitability,80.8956,8.526428763080219,Positive Forecast,Potential Opportunity,adaptive_blended_momentum,Positive adaptive forecast with manageable risk and no weak fundamentals flag,74.93647372562906,0.5318926820929568,74.54000091552734,70.62666727701823,77.9194998059954,70.2756707903493,74.54,73.5061,89.0278
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,2010-01-04,2026-04-30,4106,211.94000244140625,2026-06-11,naive,2.9399807400173588,3.9667684028210575,1.3376773255831242,Strong Reliability,730.4346835039091,0.06109235307808126,21.85480924419409,31.546915850446123,-30.722834055155257,Lower Risk,Below-Sector Volatility,2.05609E10,4.0797E9,6.3484E9,10.02,19.842030261321245,17.9578567128236,10.492196138040063,30.876080327223033,29.446075091513414,4.856352608167317,Above-Sector Profitability,225.2747,6.291733509483816,Positive Forecast,Potential Opportunity,adaptive_blended_momentum,Positive adaptive forecast with manageable risk and no weak fundamentals flag,211.94000244140625,0.0,211.94000244140625,202.09833272298178,202.82398405529204,258.9949386111754,211.94,201.3589,252.031
ADSK,"Autodesk, Inc.",Technology,Software - Application,2010-01-04,2026-04-30,4106,237.0,2026-06-11,drift,4.418053454402871,6.051123142995758,1.7954181941368013,Strong Reliability,823.2567171624894,0.07934447657723083,35.57760620680045,31.546915850446123,12.776812717485758,Moderate Risk,Near-Sector Volatility,7.206E9,1.124E9,2.207E9,5.28,15.598112683874549,17.9578567128236,-13.140454713974698,30.627255065223423,29.446075091513414,4.011332478230465,Below-Sector Profitability,234.7005,-0.9702531645569599,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,238.54443361698202,0.6516597540008519,237.0,237.54199981689453,232.72737920851935,320.7780805209908,237.0,204.5196,269.3351
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,2010-01-04,2026-04-30,4106,113.6500015258789,2026-06-11,drift,0.8855237402381113,1.1195872913738623,0.823721276278957,Strong Reliability,638.0265748778194,0.057041644868766235,20.48424242804716,20.788093084695877,-1.4616571871732202,Lower Risk,Near-Sector Volatility,8.799E9,1.456E9,3.945E9,5.38,16.54733492442323,13.756902310995978,20.28387314487827,44.834640300034096,41.91501976342937,6.965571179694583,Above-Sector Profitability,116.1479,2.197888253409592,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,114.36803436511617,0.6317930748762605,113.6500015258789,110.76100006103516,115.7008908589681,108.76355200744547,113.65,109.1703,123.5716
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,2010-01-04,2026-04-30,4106,137.11000061035156,2026-06-11,drift,1.0526831787502824,1.3766680136182687,0.8311852616648566,Strong Reliability,632.6476208181015,0.05598448195119894,19.380739763524733,20.788093084695877,-6.769997206753092,Lower Risk,Near-Sector Volatility,2.1876E10,3.58E9,9.239E9,6.7,16.36496617297495,13.756902310995978,18.958220411976974,42.23349789723898,41.91501976342937,0.7598186416399676,Above-Sector Profitability,141.2195,2.9972285026620935,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,137.97525529942763,0.6310660675547706,137.11000061035156,132.65600077311197,140.93301300775437,131.03567712306244,137.11,132.524,150.4854
AES,The AES Corporation,Utilities,Utilities - Diversified,2010-01-04,2026-04-30,4106,14.449999809265137,2026-06-11,drift,0.18142831115359534,0.41136243338314044,1.2246797311061377,Strong Reliability,65.62251734388752,0.034477165537625205,33.37400490578348,20.788093084695877,60.54384964416629,Moderate Risk,Above-Sector Volatility,1.2233E10,9.49E8,3.357E9,0.0,7.7577045696068,13.756902310995978,-43.60863809139636,27.4421646366386,41.91501976342937,-34.52904283112914,Below-Sector Profitability,14.476,0.1799307958477618,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,14.491841520664899,0.28956202042946527,14.449999809265137,14.318333276112874,15.002521583012172,15.68100392549993,14.45,12.3349,16.9887
AFL,Aflac Incorporated,Financial Services,Insurance - Life,2010-01-04,2026-04-30,4106,113.66999816894533,2026-06-11,naive,0.8903504265679254,1.1951755347500892,0.7993438043776288,Strong Reliability,608.1138313489506,0.061206711112240644,26.121243845482457,29.84936788333878,-12.489792254318639,Moderate Risk,Near-Sector Volatility,1.7355E10,3.646E9,,6.84,21.00835494093921,21.641249092229483,-2.9244806923714965,,42.14606004265325,,Below-Sector Profitability,113.8506,0.15888097123251368,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,113.66999816894533,0.0,113.66999816894533,111.49633331298828,114.54793076288134,112.05393433134958,113.67,106.9167,121.2342
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,2010-01-04,2026-04-30,4106,74.80000305175781,2026-06-11,drift,0.8245578166777311,1.1947179244106185,1.0805962428837268,Strong Reliability,300.4927225186282,0.05609823160752518,33.454291022583014,29.84936788333878,12.077050185228275,Moderate Risk,Near-Sector Volatility,2.6774E10,3.096E9,,5.48,11.563457085231942,21.641249092229483,-46.56751541488461,,42.14606004265325,,Below-Sector Profitability,72.2497,-3.409491978609616,Negative Forecast,Weak Fundamentals / Negative Forecast,adaptive_blended_momentum,Negative adaptive forecast plus below-sector profitability,75.2101590229736,0.5483368375426125,74.80000305175781,75.83333282470703,74.15744272867839,82.48641598171955,74.8,67.0578,77.8436
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,2010-01-04,2026-04-30,4106,4.25,2026-06-11,naive,0.037805504269070096,0.04893939899108835,0.8846063972621163,Strong Reliability,640.4859365848188,0.06584698730155582,29.28715656436191,27.199577203172808,7.675043422901401,Moderate Risk,Near-Sector Volatility,1.38486E8,5.54009E8,1.01859E8,3.95,400.04693615239086,23.763222666892133,1583.4708901236368,73.55183917507907,68.93636209909249,6.695272183571369,Above-Sector Profitability,4.3218,1.689411764705874,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,4.25,0.0,4.25,4.119000013669332,4.256723517463321,3.8950493881445993,4.25,4.0467,4.6155
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,2010-01-04,2026-04-30,4106,236.27000427246097,2026-06-11,drift,2.3442221258551257,3.4736919761132095,1.0389231584327139,Strong Reliability,975.4551606052382,0.07110847417162401,25.71819729960178,29.84936788333878,-13.840060532882918,Moderate Risk,Near-Sector Volatility,1.28143E10,8.727E8,,17.14,6.810360300601672,21.641249092229483,-68.5306505572869,,42.14606004265325,,Below-Sector Profitability,249.2021,5.473441401786088,Positive Forecast,Potential Opportunity,adaptive_blended_momentum,Positive adaptive forecast with manageable risk and no weak fundamentals flag,237.83614825156954,0.662861959109517,236.27000427246097,222.7230000813802,241.64150492350262,222.9889251257791,236.27,226.6575,273.9892
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,2010-01-04,2026-04-30,4106,206.3999938964844,2026-06-11,naive,3.2194374932183174,4.612663787701567,1.4210339995124772,Strong Reliability,1282.5413605697788,0.07279274795408718,20.98657406282598,29.84936788333878,-29.691730341330956,Lower Risk,Below-Sector Volatility,1.3942E10,1.494E9,3.678E9,5.83252,10.715822694018074,21.641249092229483,-50.484268960862785,26.380720126237268,42.14606004265325,-37.40643823043226,Below-Sector Profitability,189.3014,-8.284205426356591,Negative Forecast,Weak Fundamentals / Negative Forecast,adaptive_blended_momentum,Negative adaptive forecast plus below-sector profitability,206.3999938964844,0.0,206.3999938964844,216.86200103759765,193.58692350841707,248.00378632146385,206.4,168.0264,213.2701
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,2010-01-04,2026-04-30,4106,102.9800033569336,2026-06-11,drift,2.4820756435739737,3.7768075069627747,2.502182967486197,Strong Reliability,297.2993944977555,0.05974042627649655,36.23854184028366,31.546915850446123,14.871900670350916,Moderate Risk,Near-Sector Volatility,4.208175E9,4.52031E8,1.403073E9,3.11,10.741734837548343,17.9578567128236,-40.183647696232406,33.34160295139817,29.446075091513414,13.229361970239218,Below-Sector Profitability,107.9728,4.848320062147992,Positive Forecast,Potential Opportunity,adaptive_blended_momentum,Positive adaptive forecast with manageable risk and no weak fundamentals flag,103.54317025058018,0.5468701449684539,102.9800033569336,104.99400024414062,105.59905097598121,69.60307933369992,102.98,85.6486,136.1157
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,2010-01-04,2026-04-30,4106,196.6999969482422,2026-06-11,drift,5.451720305921193,7.169125804007713,3.1176322639523617,Strong Reliability,552.1355327111006,0.08160680039440105,42.43886052671371,32.50264559878705,30.57048047897205,Moderate Risk,Above-Sector Volatility,5.142733E9,-5.10628E8,7.48625E8,0.0,-9.929117455640805,5.415904936014625,-283.3325653412834,14.556948610787298,19.29199471294753,-24.544098070804353,Below-Sector Profitability,192.6307,-2.0687849517031007,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,197.9170801810893,0.6187510176562708,196.6999969482422,183.3403325398763,213.1602081117176,114.77622936250788,196.7,152.331,243.5917
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,2010-01-04,2026-04-30,4106,176.00999450683594,2026-06-11,naive,3.3772232055664064,4.571124697184326,1.9231725348974302,Strong Reliability,851.4053757126267,0.09731030136275319,46.13390146847143,27.879432159424223,65.47647457330496,High Risk,Above-Sector Volatility,4.034964E9,4.10351E8,8.62303E8,5.66,10.169880078236137,13.072007764948538,-22.2010860068046,21.370773072572643,27.240119112073636,-21.546697411097306,Below-Sector Profitability,166.4927,-5.407249588091574,Negative Forecast,Weak Fundamentals / Negative Forecast,adaptive_blended_momentum,Negative adaptive forecast plus below-sector profitability,176.00999450683594,0.0,176.00999450683594,179.4809992472331,175.802850995745,91.879488614092,176.01,141.7061,195.6148
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,2010-01-04,2026-04-30,4106,39.11000061035156,2026-06-11,naive,1.2975554148356119,1.6370983026359762,2.805046612496324,Strong Reliability,398.895915421114,0.07037514219170417,39.60997523601184,27.609818322741063,43.46336789687148,Moderate Risk,Above-Sector Volatility,1.4239E10,1.0E8,1.426E9,0.85,0.7022965095863474,10.711451996826236,-93.44349851173833,10.014748226701313,20.3635712366795,-50.82027552877152,Below-Sector Profitability,37.2526,-4.749169010483248,Negative Forecast,Weak Fundamentals / Negative Forecast,adaptive_blended_momentum,Negative adaptive forecast plus below-sector profitability,39.11000061035156,0.0,39.11000061035156,39.47866694132487,38.56357202075777,34.30573697449523,39.11,30.0534,46.1762
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,2010-01-04,2026-04-30,4106,217.2599945068359,2026-06-11,drift,2.348583429604035,3.061153775244331,1.1366191902848446,Strong Reliability,929.6146849892776,0.06790740646702538,23.568639501220762,29.84936788333878,-21.041411686388752,Lower Risk,Near-Sector Volatility,6.7069E10,1.0282E10,,38.56,15.330480549881464,21.641249092229483,-29.160833163802756,,42.14606004265325,,Below-Sector Profitability,221.8893,2.130764982049158,Neutral Forecast,Stable Watchlist,adaptive_blended_momentum,Classified,218.69355526737112,0.659836507770007,217.2599945068359,211.16866709391277,219.9156069074358,214.81765413695342,217.26,204.3188,240.9709
