sector,number_of_companies,avg_forecast_30d_upside_pct,min_forecast_30d_upside_pct,max_forecast_30d_upside_pct,avg_model_mape,avg_annualized_volatility_pct,avg_profit_margin_pct,avg_ebitda_margin_pct,positive_forecast_count,neutral_forecast_count,negative_forecast_count,potential_opportunity_count,stable_watchlist_count,needs_further_review_count,weak_negative_count,high_volatility_speculative_count
Energy,20,7.2295,-0.8696,15.2358,1.6304,39.5599,10.6917,33.4567,16,4,0,14,3,1,0,2
Technology,60,4.6983,-12.2707,23.4834,2.0141,33.3512,17.9433,31.3713,26,24,10,23,22,3,9,3
Real Estate,29,2.9406,-16.8353,12.4989,1.2193,27.8318,34.3168,63.2771,16,11,2,16,11,0,2,0
Financial Services,61,2.4656,-8.2842,17.5302,1.3161,32.1798,21.6476,46.7969,25,31,5,24,31,1,4,1
Industrials,67,1.6754,-12.1296,23.4844,1.5724,29.4099,11.412,22.1185,26,20,21,26,19,9,13,0
Consumer Defensive,34,1.0729,-6.3028,12.6754,1.4041,25.0727,5.8409,17.6873,10,18,6,9,18,5,1,1
Utilities,28,0.8494,-6.113,5.8164,0.9529,21.9798,14.6241,42.4502,5,19,4,5,19,1,3,0
Communication Services,17,0.4417,-19.0174,20.4437,1.3229,30.0625,9.6198,29.6249,2,12,3,2,12,2,1,0
Unknown,79,-0.0485,-19.0174,23.4834,1.672,37.9671,16.4205,42.2592,29,23,27,0,1,70,0,8
Basic Materials,21,-0.3202,-11.639,18.6745,1.8725,32.9472,3.2569,24.9028,3,13,5,3,13,3,2,0
Consumer Cyclical,58,-0.7809,-19.0174,9.8726,1.6806,34.3486,7.2991,17.5792,11,34,13,11,28,11,8,0
Healthcare,54,-1.3262,-13.4439,23.4833,1.4498,29.223,12.7851,27.7308,11,19,24,11,19,10,14,0
