symbol,model_name,prediction_col,forecast_col,model_role,min_weight,max_weight,role_multiplier,recent_mape,directional_accuracy,observation_count,naive_recent_mape,skill_vs_naive_multiplier,direction_multiplier,price_accuracy_score,raw_score,final_weight,final_weight_pct
A,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.422442,0.0,90,1.4224415301912892,0.85,0.7,0.5979282276526718,0.3024022011,0.16325245540556643,16.3252
A,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,5.064979,0.52809,90,1.4224415301912892,0.75,1.0168539325842696,0.18814750707016945,0.1363144544,0.08105103933905039,8.1051
A,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.424664,0.438202,90,1.4224415301912892,1.1,0.9629213483146066,0.597134597471834,0.6008683661,0.2,20.0
A,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,15.270932,0.52809,90,1.4224415301912892,0.75,1.0168539325842696,0.06442912027150453,0.0393090026,0.014721589480643279,1.4722
A,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.555345,0.460674,90,1.4224415301912892,0.95,0.9764044943820225,0.5539107902377416,0.5394888826,0.24204363721706537,24.2044
A,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.514889,0.449438,90,1.4224415301912892,0.95,0.9696629213483146,0.5666080203425329,0.5845815907,0.29893127855767454,29.8931
AAL,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,2.590992,0.022472,90,2.5909918487091135,0.85,0.7134831460674157,0.35198974627624463,0.181447748,0.1565411237051795,15.6541
AAL,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,9.263168,0.449438,90,2.5909918487091135,0.75,0.9696629213483146,0.10511745368766685,0.0726240543,0.07264284586465827,7.2643
AAL,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,2.591072,0.449438,90,2.5909918487091135,1.1,0.9696629213483146,0.3519798637019608,0.3566604049,0.2,20.0
AAL,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,15.584914,0.494382,90,2.5909918487091135,0.75,0.996629213483146,0.06315158879614162,0.037763231,0.022173529877988506,2.2174
