sector,number_of_companies,avg_forecast_30d_upside_pct,min_forecast_30d_upside_pct,max_forecast_30d_upside_pct,avg_model_mape,avg_annualized_volatility_pct,avg_profit_margin_pct,avg_ebitda_margin_pct,positive_forecast_count,neutral_forecast_count,negative_forecast_count,potential_opportunity_count,stable_watchlist_count,needs_further_review_count,weak_negative_count,high_volatility_speculative_count
Energy,20,7.444418934782988,-2.5512760289686733,14.785188481968698,1.690651726199371,34.58664195750835,10.691709183353534,33.45670309772514,16,3,1,14,3,3,0,0
Real Estate,29,2.6234698193476698,-8.017325798358366,13.303065251307642,1.281038923000686,27.6926860822239,34.316816947602604,63.277061995862745,17,9,3,7,9,10,3,0
Industrials,67,2.380940808388139,-12.765500084425044,17.829741783966917,1.6551596435088167,35.45803043965128,11.412002918807673,22.11853569599448,30,25,12,21,25,16,5,0
Financial Services,60,1.75851120659076,-7.423114630611666,16.659901985464444,1.3138270690911382,27.212696525476886,21.540313532447193,46.79687976961147,25,24,11,6,24,26,3,1
Utilities,28,1.3135097466231238,-1.3899334885256551,5.781142426277971,1.0335922801605009,20.95785851716465,14.624102154630888,42.45019332822608,7,21,0,1,21,6,0,0
Basic Materials,21,0.7328906593819371,-7.705844011091265,10.239092012173131,1.8640846540194154,38.528830058723074,3.2569353351607746,24.902750394214053,7,9,5,3,9,8,1,0
Consumer Defensive,34,0.48319098104002856,-5.118042970779825,16.438993233903474,1.5238195655643743,31.95664520686534,5.840853285894915,17.68733452118433,9,14,11,6,14,13,1,0
Healthcare,53,0.3181624325332291,-10.69701461417509,10.17205209393597,1.5673113353248715,34.09152610261959,12.766073228723771,27.7154206643914,18,23,12,8,23,16,6,0
Consumer Cyclical,57,0.22335056241469228,-12.38231562235206,13.821524162695535,1.8282351788294928,39.01157344038828,7.261735557060823,17.533654419886915,19,19,19,7,19,24,6,1
Communication Services,17,-0.9470543050068398,-8.188317537270093,16.195413578269072,1.4666940999788578,33.396877639840284,9.619774040059491,29.624874439791608,3,4,10,2,4,7,4,0
Unknown,75,-1.024772861899937,-13.357964141870657,10.17231536833919,2.00950746185537,43.32277179095757,16.420516208181944,42.2592365403671,24,24,27,9,24,22,19,1
Technology,60,-2.1759973604307588,-13.775234227137378,8.539099590236905,2.413352895755808,51.82712844872494,17.943283990714228,31.371329799472434,13,18,29,6,18,17,18,1
